"s","l","m","Func"
-2,2,-2,"(sqrt(5/π)*^(zm,2))/8."
-2,2,-1,"(sqrt(5/π)*^(zm,2)*sqrt(zp/zm))/4."
-2,2,0,"(sqrt(15/(2.0*π))*zm*zp)/4."
-2,2,1,"(sqrt(5/π)*^(zm,2)*^(zp/zm,1.5))/4."
-2,2,2,"(sqrt(5/π)*^(zp,2))/8."
-2,3,-3,"(sqrt(21/(2.0*π))*^(zm,3)*sqrt(zp/zm))/8."
-2,3,-2,"(sqrt(7/π)*^(zm,3)*(-1 + (5*zp)/zm))/16."
-2,3,-1,"-(sqrt(7/(10.0*π))*^(zm,3)*(5*sqrt(zp/zm) - 10*^(zp/zm,1.5)))/8."
-2,3,0,"(sqrt(21/(10.0*π))*^(zm,3)*((-10*zp)/zm + (10*^(zp,2))/^(zm,2)))/16."
-2,3,1,"-(sqrt(7/(10.0*π))*^(zm,3)*(10*^(zp/zm,1.5) - 5*^(zp/zm,2.5)))/8."
-2,3,2,"(sqrt(7/π)*^(zm,3)*((-5*^(zp,2))/^(zm,2) + ^(zp,3)/^(zm,3)))/16."
-2,3,3,"-(sqrt(21/(2.0*π))*^(zm,3)*^(zp/zm,2.5))/8."
-2,4,-4,"(3*sqrt(7/π)*^(zm,3)*zp)/16."
-2,4,-3,"(-3*sqrt(7/(2.0*π))*^(zm,4)*(2*sqrt(zp/zm) - 6*^(zp/zm,1.5)))/32."
-2,4,-2,"(3*^(zm,4)*(1 - (12*zp)/zm + (15*^(zp,2))/^(zm,2)))/(32.0*sqrt(π))"
-2,4,-1,"(-3*^(zm,4)*(-6*sqrt(zp/zm) + 30*^(zp/zm,1.5) - 20*^(zp/zm,2.5)))/(32.0*sqrt(2*π))"
-2,4,0,"(3*^(zm,4)*((15*zp)/zm - (40*^(zp,2))/^(zm,2) + (15*^(zp,3))/^(zm,3)))/(16.0*sqrt(10*π))"
-2,4,1,"(-3*^(zm,4)*(-20*^(zp/zm,1.5) + 30*^(zp/zm,2.5) - 6*^(zp/zm,3.5)))/(32.0*sqrt(2*π))"
-2,4,2,"(3*^(zm,4)*((15*^(zp,2))/^(zm,2) - (12*^(zp,3))/^(zm,3) + ^(zp,4)/^(zm,4)))/(32.0*sqrt(π))"
-2,4,3,"(-3*sqrt(7/(2.0*π))*^(zm,4)*(-6*^(zp/zm,2.5) + 2*^(zp/zm,3.5)))/32."
-2,4,4,"(3*sqrt(7/π)*zm*^(zp,3))/16."
-2,5,-5,"(sqrt(165/(2.0*π))*^(zm,5)*^(zp/zm,1.5))/16."
-2,5,-4,"(sqrt(33/π)*^(zm,5)*((-3*zp)/zm + (7*^(zp,2))/^(zm,2)))/32."
-2,5,-3,"-(sqrt(11/(6.0*π))*^(zm,5)*(-3*sqrt(zp/zm) + 21*^(zp/zm,1.5) - 21*^(zp/zm,2.5)))/16."
-2,5,-2,"(sqrt(11/π)*^(zm,5)*(-1 + (21*zp)/zm - (63*^(zp,2))/^(zm,2) + (35*^(zp,3))/^(zm,3)))/64."
-2,5,-1,"-(sqrt(11/(7.0*π))*^(zm,5)*(7*sqrt(zp/zm) - 63*^(zp/zm,1.5) + 105*^(zp/zm,2.5) - 35*^(zp/zm,3.5)))/32."
-2,5,0,"(sqrt(55/(42.0*π))*^(zm,5)*((-21*zp)/zm + (105*^(zp,2))/^(zm,2) - (105*^(zp,3))/^(zm,3) + (21*^(zp,4))/^(zm,4)))/32."
-2,5,1,"-(sqrt(11/(7.0*π))*^(zm,5)*(35*^(zp/zm,1.5) - 105*^(zp/zm,2.5) + 63*^(zp/zm,3.5) - 7*^(zp/zm,4.5)))/32."
-2,5,2,"(sqrt(11/π)*^(zm,5)*((-35*^(zp,2))/^(zm,2) + (63*^(zp,3))/^(zm,3) - (21*^(zp,4))/^(zm,4) + ^(zp,5)/^(zm,5)))/64."
-2,5,3,"-(sqrt(11/(6.0*π))*^(zm,5)*(21*^(zp/zm,2.5) - 21*^(zp/zm,3.5) + 3*^(zp/zm,4.5)))/16."
-2,5,4,"(sqrt(33/π)*^(zm,5)*((-7*^(zp,3))/^(zm,3) + (3*^(zp,4))/^(zm,4)))/32."
-2,5,5,"-(sqrt(165/(2.0*π))*^(zm,5)*^(zp/zm,3.5))/16."
-2,6,-6,"(3*sqrt(715/π)*^(zm,4)*^(zp,2))/128."
-2,6,-5,"-(sqrt(2145/π)*^(zm,6)*(4*^(zp/zm,1.5) - 8*^(zp/zm,2.5)))/256."
-2,6,-4,"(sqrt(195/(2.0*π))*^(zm,6)*((6*zp)/zm - (32*^(zp,2))/^(zm,2) + (28*^(zp,3))/^(zm,3)))/128."
-2,6,-3,"(-3*sqrt(13/π)*^(zm,6)*(4*sqrt(zp/zm) - 48*^(zp/zm,1.5) + 112*^(zp/zm,2.5) - 56*^(zp/zm,3.5)))/256."
-2,6,-2,"(sqrt(13/π)*^(zm,6)*(1 - (32*zp)/zm + (168*^(zp,2))/^(zm,2) - (224*^(zp,3))/^(zm,3) + (70*^(zp,4))/^(zm,4)))/128."
-2,6,-1,"-(sqrt(65/(2.0*π))*^(zm,6)*(-8*sqrt(zp/zm) + 112*^(zp/zm,1.5) - 336*^(zp/zm,2.5) + 280*^(zp/zm,3.5) - 56*^(zp/zm,4.5)))/256."
-2,6,0,"(sqrt(195/(7.0*π))*^(zm,6)*((28*zp)/zm - (224*^(zp,2))/^(zm,2) + (420*^(zp,3))/^(zm,3) - (224*^(zp,4))/^(zm,4) + (28*^(zp,5))/^(zm,5)))/256."
-2,6,1,"-(sqrt(65/(2.0*π))*^(zm,6)*(-56*^(zp/zm,1.5) + 280*^(zp/zm,2.5) - 336*^(zp/zm,3.5) + 112*^(zp/zm,4.5) - 8*^(zp/zm,5.5)))/256."
-2,6,2,"(sqrt(13/π)*^(zm,6)*((70*^(zp,2))/^(zm,2) - (224*^(zp,3))/^(zm,3) + (168*^(zp,4))/^(zm,4) - (32*^(zp,5))/^(zm,5) + ^(zp,6)/^(zm,6)))/128."
-2,6,3,"(-3*sqrt(13/π)*^(zm,6)*(-56*^(zp/zm,2.5) + 112*^(zp/zm,3.5) - 48*^(zp/zm,4.5) + 4*^(zp/zm,5.5)))/256."
-2,6,4,"(sqrt(195/(2.0*π))*^(zm,6)*((28*^(zp,3))/^(zm,3) - (32*^(zp,4))/^(zm,4) + (6*^(zp,5))/^(zm,5)))/128."
-2,6,5,"-(sqrt(2145/π)*^(zm,6)*(-8*^(zp/zm,3.5) + 4*^(zp/zm,4.5)))/256."
-2,6,6,"(3*sqrt(715/π)*^(zm,2)*^(zp,4))/128."
-2,7,-7,"(sqrt(15015/(2.0*π))*^(zm,7)*^(zp/zm,2.5))/128."
-2,7,-6,"(sqrt(2145/π)*^(zm,7)*((-5*^(zp,2))/^(zm,2) + (9*^(zp,3))/^(zm,3)))/256."
-2,7,-5,"-(sqrt(165/(2.0*π))*^(zm,7)*(-10*^(zp/zm,1.5) + 45*^(zp/zm,2.5) - 36*^(zp/zm,3.5)))/128."
-2,7,-4,"(sqrt(165/(2.0*π))*^(zm,7)*((-10*zp)/zm + (90*^(zp,2))/^(zm,2) - (180*^(zp,3))/^(zm,3) + (84*^(zp,4))/^(zm,4)))/256."
-2,7,-3,"-(sqrt(15/(2.0*π))*^(zm,7)*(-5*sqrt(zp/zm) + 90*^(zp/zm,1.5) - 360*^(zp/zm,2.5) + 420*^(zp/zm,3.5) - 126*^(zp/zm,4.5)))/128."
